id,claim_complexity,time,time_complexity,math,dataset
203177,1,0,0,1,FEVER
195831,1,1,1,0,FEVER
212338,1,1,1,0,FEVER
204330,1,1,1,0,FEVER
77048,1,3,1,0,FEVER
108301,1,1,1,0,FEVER
190163,1,3,1,1,FEVER
220214,1,1,1,0,FEVER
8383,1,1,1,0,FEVER
170947,1,3,1,0,FEVER
86397,1,0,0,0,FEVER
15084,1,1,1,0,FEVER
168548,1,1,1,0,FEVER
194465,1,3,1,0,FEVER
26635,1,1,1,0,FEVER
105530,1,1,1,0,FEVER
124355,1,3,1,0,FEVER
147207,2,0,0,0,FEVER
36207,2,0,0,0,FEVER
194793,1,1,1,0,FEVER
146015,1,1,1,0,FEVER
156664,1,1,1,0,FEVER
223774,2,1,1,0,FEVER
205644,1,1,1,0,FEVER
24152,1,0,0,0,FEVER
173719,1,3,1,0,FEVER
112890,1,0,0,0,FEVER
199761,1,0,0,0,FEVER
33172,1,0,0,0,FEVER
120210,1,0,0,0,FEVER
179758,1,1,1,0,FEVER
191252,1,1,1,0,FEVER
104710,1,0,0,0,FEVER
185239,1,0,0,0,FEVER
216577,1,1,1,0,FEVER
175934,2,1,1,0,FEVER
216581,1,1,1,0,FEVER
63836,1,1,1,0,FEVER
186590,1,3,1,0,FEVER
48377,1,1,1,0,FEVER
85004,1,1,1,0,FEVER
114974,1,1,1,0,FEVER
40481,1,0,0,0,FEVER
70430,1,0,0,0,FEVER
101759,1,0,0,0,FEVER
226092,1,0,0,0,FEVER
55999,1,0,0,0,FEVER
125760,1,1,1,0,FEVER
104111,1,0,0,0,FEVER
127197,1,0,0,0,FEVER
157475,1,1,1,0,FEVER
113953,1,3,3,0,FEVER
149622,1,0,0,0,FEVER
218476,2,1,1,0,FEVER
18623,1,1,1,0,FEVER
223669,1,0,0,0,FEVER
193910,1,0,0,0,FEVER
18402,1,0,0,0,FEVER
136704,1,1,1,0,FEVER
60411,1,1,1,0,FEVER
202793,1,0,0,0,FEVER
67727,1,1,1,0,FEVER
49217,1,1,1,0,FEVER
204328,1,1,1,0,FEVER
84836,1,1,1,0,FEVER
107926,1,3,1,0,FEVER
143131,1,1,1,0,FEVER
69806,1,1,1,0,FEVER
159714,1,0,0,0,FEVER
91103,1,1,1,0,FEVER
195817,1,1,1,0,FEVER
7877,1,1,1,0,FEVER
17123,1,1,1,0,FEVER
116832,1,1,1,0,FEVER
198013,1,1,1,1,FEVER
118099,1,0,0,0,FEVER
19141,1,0,0,0,FEVER
71836,1,0,0,0,FEVER
199421,1,1,1,0,FEVER
75384,1,0,0,0,FEVER
215129,2,3,1,0,FEVER
152968,2,1,1,0,FEVER
36922,1,1,1,1,FEVER
189751,1,3,3,0,FEVER
148295,1,0,0,0,FEVER
153578,1,0,0,0,FEVER
160959,1,3,1,0,FEVER
161858,1,1,1,0,FEVER
186318,1,0,0,0,FEVER
205741,1,1,1,1,FEVER
116321,1,0,0,0,FEVER
181613,1,0,0,0,FEVER
201095,1,1,1,0,FEVER
216581,1,1,1,0,FEVER
136463,1,0,0,0,FEVER
220201,1,0,0,0,FEVER
38080,1,1,1,0,FEVER
58416,1,3,1,0,FEVER
90208,1,1,1,0,FEVER
88165,1,0,0,0,FEVER
138373,1,3,1,0,FEVER
19111,1,0,0,0,FEVER
189443,1,1,1,0,FEVER
199408,1,1,1,0,FEVER
84397,1,0,0,0,FEVER
49470,1,0,0,0,FEVER
193895,1,0,0,0,FEVER
131223,1,0,0,0,FEVER
132524,1,0,0,0,FEVER
