id,claim_complexity,time,time_complexity,math,dataset
chct-00292,1,1,4,3,MultiFC
snes-01141,2,1,1,0,MultiFC
tron-01965,x,x,x,x,MultiFC
snes-04965,1,1,1,0,MultiFC
pomt-02237,2,1,1,0,MultiFC
tron-00449,x,x,x,x,MultiFC
tron-03290,x,x,x,x,MultiFC
pomt-03855,4,1,1,0,MultiFC
snes-03073,x,x,x,x,MultiFC
snes-01343,2,1,1,0,MultiFC
pomt-02628,1,1,1,0,MultiFC
snes-02436,1,1,1,0,MultiFC
snes-03175,1,1,1,0,MultiFC
tron-01670,1,1,1,0,MultiFC
snes-00080,2,1,1,0,MultiFC
snes-03956,2,1,1,0,MultiFC
pomt-15019,2,1,1,0,MultiFC
faly-00003,1,1,4,1,MultiFC
snes-02362,2,2,1,0,MultiFC
snes-00666,1,1,1,0,MultiFC
snes-03233,2,1,1,0,MultiFC
tron-00875,x,x,x,x,MultiFC
hoer-01264,1,1,1,0,MultiFC
snes-02764,x,x,x,x,MultiFC
vogo-00147,4,1,1,1,MultiFC
pomt-11641,1,1,1,0,MultiFC
hoer-01158,x,x,x,x,MultiFC
wast-00085,3,1,4,1,MultiFC
tron-00185,x,x,x,x,MultiFC
pomt-06243,1,1,1,0,MultiFC
pomt-07775,1,2,4,1,MultiFC
tron-02283,1,1,1,0,MultiFC
pomt-06279,1,1,1,1,MultiFC
farg-00426,1,1,1,0,MultiFC
chct-00311,1,1,1,1,MultiFC
tron-00571,2,1,1,0,MultiFC
snes-03636,3,1,1,0,MultiFC
pomt-12183,1,1,1,1,MultiFC
hoer-00946,x,x,x,x,MultiFC
snes-06161,x,x,x,x,MultiFC
pomt-02990,2,2,3,1,MultiFC
pomt-01775,3,1,1,0,MultiFC
pomt-08061,2,2,1,0,MultiFC
pomt-04181,1,1,1,1,MultiFC
snes-05139,1,1,1,0,MultiFC
pomt-00339,4,1,1,0,MultiFC
snes-00851,1,1,1,0,MultiFC
farg-00098,4,1,1,2,MultiFC
tron-02696,1,1,1,0,MultiFC
tron-03449,1,1,1,0,MultiFC
pomt-06135,2,1,1,0,MultiFC
snes-01707,1,1,1,0,MultiFC
pomt-05302,4,2,2,0,MultiFC
pomt-01466,1,1,1,0,MultiFC
chct-00020,1,1,1,0,MultiFC
pomt-07663,2,1,1,0,MultiFC
snes-04883,2,2,1,0,MultiFC
afck-00216,1,1,1,0,MultiFC
snes-03456,1,1,1,0,MultiFC
wast-00049,2,3,4,1,MultiFC
snes-02263,x,x,x,x,MultiFC
snes-02800,2,1,1,0,MultiFC
snes-00583,x,x,x,x,MultiFC
thal-00053,1,1,1,1,MultiFC
snes-01280,3,1,1,0,MultiFC
farg-00491,2,1,1,0,MultiFC
snes-02302,1,3,1,0,MultiFC
pomt-02468,3,1,1,1,MultiFC
snes-04579,4,1,1,0,MultiFC
snes-06430,3,1,1,0,MultiFC
pomt-09786,3,1,1,0,MultiFC
snes-04525,x,x,x,x,MultiFC
wast-00032,4,1,1,0,MultiFC
snes-02473,3,1,1,0,MultiFC
pomt-08122,1,1,1,1,MultiFC
snes-02885,2,2,4,2,MultiFC
tron-02462,x,x,x,x,MultiFC
tron-01028,2,1,1,0,MultiFC
snes-05739,1,1,1,0,MultiFC
snes-03607,2,1,1,0,MultiFC
tron-02069,1,1,1,0,MultiFC
pomt-07040,1,1,1,0,MultiFC
chct-00147,1,3,4,1,MultiFC
snes-00563,1,3,1,1,MultiFC
pomt-01192,1,1,1,0,MultiFC
pomt-09936,2,1,1,0,MultiFC
snes-02019,x,x,x,x,MultiFC
pomt-09344,3,2,4,1,MultiFC
pomt-06425,4,1,1,3,MultiFC
snes-05544,x,x,x,x,MultiFC
pomt-11973,2,2,1,0,MultiFC
snes-01918,2,3,1,0,MultiFC
pomt-04984,1,1,1,1,MultiFC
snes-05513,x,x,x,x,MultiFC
vees-00211,1,1,1,1,MultiFC
pomt-10955,3,1,1,0,MultiFC
snes-03003,1,1,1,0,MultiFC
farg-00486,3,1,1,0,MultiFC
pomt-05777,1,1,1,0,MultiFC
snes-02298,3,1,1,0,MultiFC
pomt-08034,2,2,1,2,MultiFC
chct-00205,1,1,1,1,MultiFC
pomt-07530,2,1,1,0,MultiFC
snes-00448,1,1,1,0,MultiFC
vogo-00534,3,3,2,0,MultiFC
pomt-01634,2,1,1,0,MultiFC
tron-03111,2,1,1,0,MultiFC
snes-03500,2,2,1,0,MultiFC
snes-04428,2,1,1,0,MultiFC
tron-01024,1,1,1,0,MultiFC
pomt-13326,3,1,1,0,MultiFC
chct-00046,x,x,x,x,MultiFC
pomt-14927,1,2,4,1,MultiFC
pomt-04709,3,2,1,1,MultiFC
snes-01227,2,1,1,0,MultiFC
pomt-08780,3,2,1,0,MultiFC
snes-04127,2,3,1,0,MultiFC
pomt-01206,1,1,1,1,MultiFC
